label,prediction
2.0,2.0
7.0,7.0
0.0,0.0
0.0,8.0
0.0,0.0
0.0,4.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
13.0,0.0
1.0,1.0
1.0,1.0
23.0,0.0
23.0,2.0
13.0,0.0
0.0,0.0
2.0,2.0
11.0,0.0
23.0,1.0
23.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
5.0,5.0
1.0,1.0
0.0,1.0
11.0,0.0
23.0,0.0
1.0,1.0
23.0,0.0
0.0,0.0
0.0,0.0
23.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
3.0,3.0
1.0,1.0
0.0,0.0
13.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
23.0,0.0
23.0,0.0
13.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
11.0,0.0
23.0,0.0
0.0,2.0
0.0,0.0
0.0,0.0
0.0,0.0
11.0,0.0
0.0,0.0
13.0,0.0
0.0,0.0
23.0,0.0
23.0,0.0
0.0,0.0
23.0,0.0
5.0,5.0
23.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
11.0,0.0
8.0,8.0
23.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
23.0,0.0
1.0,1.0
0.0,0.0
23.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,2.0
1.0,1.0
0.0,0.0
5.0,5.0
13.0,0.0
23.0,0.0
23.0,0.0
0.0,0.0
11.0,0.0
0.0,0.0
0.0,0.0
2.0,2.0
23.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
1.0,1.0
11.0,0.0
23.0,0.0
2.0,2.0
23.0,2.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
23.0,0.0
5.0,5.0
0.0,0.0
1.0,1.0
11.0,0.0
0.0,0.0
23.0,0.0
0.0,0.0
23.0,0.0
0.0,0.0
23.0,0.0
2.0,2.0
2.0,2.0
7.0,7.0
0.0,0.0
16.0,0.0
23.0,0.0
0.0,0.0
0.0,0.0
5.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
23.0,0.0
5.0,5.0
0.0,0.0
0.0,0.0
7.0,7.0
0.0,0.0
23.0,1.0
